link,Price,Year,Mileage,Fuel,Transmission,EngineCapacity,Power,Color,Doors,Location
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-active-acc-led-kamera-sound-system-bo-hirdetesid-2x6zxm,11 506 565 Ft,2024,18 900 km,dízel,automata,1 499 cm³,85 kW (116 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-active-1-5-ecoblue-automatik-hirdetesid-4tsbr6,11 506 565 Ft,2023,28 563 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-active-fahrerass-paket-2--hirdetesid-n3mz5z,11 506 565 Ft,2024,19 946 km,dízel,automata,1 499 cm³,85 kW (116 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-titanium-x-hirdetesid-36vrrt,11 506 565 Ft,2023,23 430 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/focus-iv/ford-focus-iv-2-3-ecoboost-st-bo-recaro-led-navi-kamera-hirdetesid-s77zrb,11 574 750 Ft,2020,38 431 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-2-3eb-st-turnier-led-bo-acc-bastuck-aga-hirdetesid-xez8s7,11 576 812 Ft,2020,47 500 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-st-line-hirdetesid-v94acx,11 592 235 Ft,2024,25 239 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-edition-280ps-navi-digitales-cockpit-led-bo-ad-hirdetesid-ty2vn5,11 611 916 Ft,2022,74 998 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-st-line-hirdetesid-sm3w8t,11 620 792 Ft,2024,26 450 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-1-5-hud-winter-pkt-ahk-acc-matr-hirdetesid-mna98b,11 633 969 Ft,2023,36 199 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/focus-iv/ford-focus-iv-1-5-ecoblue-st-line-x-automata-megtekintheto-es-kiprobalhato-fordstore-budaors-hirdetesid-wsc92f,11 590 000 Ft,2024,14 661 km,dízel,tiptronik,1 499 cm³,85 kW (116 LE),szürke,5 ajtó,"Budapest, Budaörsi út 179."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-2-3-st-led-twa-nav-recaro-shz-pdc-cam-lm18-hirdetesid-mve26v,11 657 343 Ft,2021,49 950 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-hirdetesid-kk4ey8,11 657 343 Ft,2020,29 600 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-280ps-pdc-kamera-teilbor-winterpaket-led-hirdetesid-5ptf6y,11 673 860 Ft,2022,78 690 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-2-3-ecoboost-ss-st-hirdetesid-f9p9wc,11 673 860 Ft,2020,11 650 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-0-ecoboost-mhev-titanium-x-hirdetesid-86ykyv,,2024,5 km,benzin,manuális/kézi,999 cm³,92 kW (125 LE),,5 ajtó,"Budapest, Kerepesi út 105."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-x-led-plusz-navi-plusz-kamera-plusz-winterpaket-hirdetesid-vy2y3f,11 682 297 Ft,2023,14 763 km,dízel,automata,1 499 cm³,85 kW (116 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-titanium-x-hirdetesid-cra89e,11 682 297 Ft,2022,26 990 km,dízel,manuális/kézi,1 499 cm³,88 kW (120 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-bluetooth-navi-led-klima-el-fenster-hirdetesid-e36yty,11 686 688 Ft,2023,28 953 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-x-aut-matrix-acc-kamera-wi-pkt-hirdetesid-h89pmc,11 686 688 Ft,2024,20 060 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
